City_ID,City,Country,Data,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,77.484,-69.3632,29.61,91,94,1.1,GL,2022-06-07 13:27:31
1,Yar-Sale,66.8333,70.8333,67.53,27,58,12.41,RU,2022-06-07 13:27:31
2,Isangel,-19.55,169.2667,73.17,82,15,8.16,VU,2022-06-07 13:27:32
3,Jumla,29.2747,82.1838,70.21,43,91,5.01,NP,2022-06-07 13:27:32
4,Westport,41.1415,-73.3579,73.72,70,100,1.99,US,2022-06-07 13:22:44
5,Aklavik,68.2191,-135.0107,33.21,77,28,11.05,CA,2022-06-07 13:27:33
6,Mudgee,-32.5943,149.5871,42.62,88,31,10.31,AU,2022-06-07 13:27:33
7,Hambantota,6.1241,81.1185,82.74,83,20,11.5,LK,2022-06-07 13:27:33
8,Karratha,-20.7377,116.8463,72.46,57,6,8.39,AU,2022-06-07 13:25:31
9,Russell,32.3502,-85.1999,74.48,94,100,4.61,US,2022-06-07 13:27:34
10,Quarai,-30.3875,-56.4514,58.73,88,3,9.42,BR,2022-06-07 13:26:07
11,Port Alfred,-33.5906,26.891,70.18,62,7,1.99,ZA,2022-06-07 13:24:40
12,Norman Wells,65.282,-126.8329,50.04,81,100,2.3,CA,2022-06-07 13:27:35
13,Voskresenskoye,56.8381,45.4317,62.53,49,83,14.29,RU,2022-06-07 13:27:35
14,Busselton,-33.65,115.3333,57.94,53,92,17.29,AU,2022-06-07 13:27:35
15,Yulara,-25.2406,130.9889,50.79,52,0,10.83,AU,2022-06-07 13:27:36
16,Iqaluit,63.7506,-68.5145,44.33,70,20,17.27,CA,2022-06-07 13:27:36
17,Jamestown,42.097,-79.2353,63.99,74,100,11.5,US,2022-06-07 13:26:59
18,Tuktoyaktuk,69.4541,-133.0374,28.4,86,100,12.66,CA,2022-06-07 13:27:37
19,Balabac,7.9868,117.0645,82.51,71,98,2.17,PH,2022-06-07 13:27:37
20,Ribeira Grande,38.5167,-28.7,66.6,94,75,13.8,PT,2022-06-07 13:27:38
21,Yellowknife,62.456,-114.3525,61.32,48,20,6.91,CA,2022-06-07 13:27:38
22,Hermanus,-34.4187,19.2345,86.81,43,0,4.7,ZA,2022-06-07 13:27:39
23,Kasungu,-13.0333,33.4833,67.68,53,98,5.59,MW,2022-06-07 13:27:39
24,Brooks,50.5834,-111.8851,49.98,93,100,10.36,CA,2022-06-07 13:27:39
25,Sistranda,63.7256,8.834,55.36,70,29,23.31,NO,2022-06-07 13:27:40
26,Albany,42.6001,-73.9662,70.88,50,100,1.01,US,2022-06-07 13:24:35
27,Port Macquarie,-31.4333,152.9167,48.85,72,0,8.1,AU,2022-06-07 13:27:40
28,Kavieng,-2.5744,150.7967,81.36,77,86,11.05,PG,2022-06-07 13:27:41
29,Marsa Matruh,31.3525,27.2453,84.4,58,0,11.5,EG,2022-06-07 13:27:41
30,Zavyalovo,54.5053,82.4484,55.13,82,99,11.07,RU,2022-06-07 13:27:41
31,Severo-Kurilsk,50.6789,156.125,44.65,84,100,4.59,RU,2022-06-07 13:27:42
32,Ushuaia,-54.8,-68.3,44.26,53,75,14.97,AR,2022-06-07 13:27:42
33,Lagoa,39.05,-27.9833,64.89,91,100,26.82,PT,2022-06-07 13:27:42
34,Yanam,16.7333,82.2167,88.27,61,43,9.91,IN,2022-06-07 13:27:43
35,Avarua,-21.2078,-159.775,77.05,83,75,13.8,CK,2022-06-07 13:27:43
36,Dingle,10.9995,122.6711,79.39,85,10,1.66,PH,2022-06-07 13:27:44
37,Pevek,69.7008,170.3133,30.51,84,34,5.95,RU,2022-06-07 13:27:44
38,Rikitea,-23.1203,-134.9692,72.54,60,10,15.41,PF,2022-06-07 13:27:44
39,Moroni,-11.7022,43.2551,78.84,78,18,15.97,KM,2022-06-07 13:27:45
40,Paris,48.8534,2.3488,74.37,58,75,12.66,FR,2022-06-07 13:24:14
41,Barrow,71.2906,-156.7887,24.82,86,100,14.97,US,2022-06-07 13:27:45
42,Nuuk,64.1835,-51.7216,48.81,46,0,3.44,GL,2022-06-07 13:27:46
43,Biak,-0.9131,122.8766,76.87,85,93,5.06,ID,2022-06-07 13:27:46
44,Prabumulih,-3.45,104.25,79.07,82,100,2.95,ID,2022-06-07 13:27:47
45,Konevo,62.1215,39.3192,58.19,50,98,5.61,RU,2022-06-07 13:28:47
46,San Cristobal,7.7669,-72.225,75.38,68,23,4.34,VE,2022-06-07 13:28:48
47,Taldan,53.6667,124.8,64.83,51,76,1.25,RU,2022-06-07 13:28:48
48,Broken Hill,-31.95,141.4333,47.82,68,18,8.57,AU,2022-06-07 13:28:48
49,Faanui,-16.4833,-151.75,79.36,76,34,14.32,PF,2022-06-07 13:28:49
50,Karpogory,64.0019,44.4451,63.23,42,100,6.67,RU,2022-06-07 13:28:49
51,High Level,58.5169,-117.136,51.91,87,20,0.0,CA,2022-06-07 13:28:49
52,Provideniya,64.3833,-173.3,42.46,72,26,2.28,RU,2022-06-07 13:28:50
53,Plettenberg Bay,-34.0527,23.3716,74.07,40,7,3.74,ZA,2022-06-07 13:28:50
54,Touros,-5.1989,-35.4608,83.62,62,100,12.44,BR,2022-06-07 13:28:51
55,Port Hardy,50.6996,-127.4199,50.0,100,75,6.91,CA,2022-06-07 13:28:51
56,Cherskiy,68.75,161.3,38.91,64,3,8.63,RU,2022-06-07 13:28:51
